env_steps,update,loss_pi,loss_v,entropy,approx_kl,clip_frac,mean_ep_return_recent,mean_ep_len_recent,sps
196000,98,0.000000,0.000106,0.000856,-0.000000,0.000000,-0.303572,1440.00,3543.3
198000,99,-0.000000,0.000090,0.001012,-0.000000,0.000000,-0.303572,1440.00,3586.1
200000,100,-0.000000,0.000098,0.000737,-0.000000,0.000000,-0.303572,1440.00,3308.7
202000,101,-0.000000,0.000098,0.000880,-0.000000,0.000000,-0.303572,1440.00,3131.3
204000,102,0.000000,0.000083,0.000853,-0.000000,0.000000,-0.303572,1440.00,2928.0
206000,103,0.000000,0.000083,0.000937,-0.000000,0.000000,-0.303572,1440.00,3458.7
208000,104,0.000000,0.000099,0.001145,-0.000000,0.000000,-0.063534,1440.00,3395.8
210000,105,0.000000,0.000105,0.001270,-0.000000,0.000000,-0.063534,1440.00,3261.4
212000,106,-0.000023,0.000083,0.001301,0.000016,0.000250,-0.063534,1440.00,3101.4
214000,107,-0.000000,0.000077,0.001046,0.000000,0.000000,-0.063534,1440.00,3369.1
216000,108,-0.000156,0.000084,0.000736,0.000285,0.000375,-0.063534,1440.00,3268.9
218000,109,0.000000,0.000110,0.000403,0.000000,0.000000,-0.063534,1440.00,3521.5
220000,110,0.000000,0.000500,0.000257,-0.000000,0.000000,-0.063534,1440.00,3351.1
222000,111,-0.000000,0.000259,0.000213,-0.000000,0.000000,-0.063534,1440.00,3552.8
224000,112,-0.000000,0.001523,0.000267,-0.000000,0.000000,-0.063534,1440.00,3450.8
226000,113,-0.000000,0.002267,0.000480,0.000000,0.000000,-0.063534,1440.00,3465.4
228000,114,0.000000,0.000179,0.000441,-0.000000,0.000000,-0.063534,1440.00,3190.1
230000,115,-0.000242,0.000352,0.000196,0.000806,0.000375,-0.063534,1440.00,3357.6
232000,116,-0.000000,0.000317,0.000069,0.000000,0.000000,-0.038633,1440.00,3372.8
234000,117,-0.000000,0.000180,0.000074,0.000000,0.000000,-0.038633,1440.00,3420.7
236000,118,0.000000,0.002540,0.000086,-0.000000,0.000000,-0.038633,1440.00,3162.3
238000,119,-0.000000,0.000908,0.000080,-0.000000,0.000000,-0.038633,1440.00,3281.4
240000,120,0.000000,0.000213,0.000075,-0.000000,0.000000,-0.038633,1440.00,3459.2
242000,121,0.000000,0.000128,0.000107,-0.000000,0.000000,-0.038633,1440.00,3487.6
244000,122,-0.000000,0.000156,0.000129,-0.000000,0.000000,-0.038633,1440.00,3094.0
246000,123,0.000000,0.000066,0.000099,-0.000000,0.000000,-0.038633,1440.00,3511.5
248000,124,-0.000000,0.000087,0.000110,-0.000000,0.000000,-0.038633,1440.00,3466.9
250000,125,-0.000000,0.000071,0.000131,-0.000000,0.000000,-0.038633,1440.00,3441.9
252000,126,-0.000000,0.000077,0.000112,-0.000000,0.000000,-0.038633,1440.00,3291.9
254000,127,-0.000000,0.000097,0.000158,-0.000000,0.000000,-0.036980,1440.00,2876.9
256000,128,0.000000,0.000082,0.000191,-0.000000,0.000000,-0.036980,1440.00,3426.6
258000,129,-0.000000,0.000064,0.000206,-0.000000,0.000000,-0.036980,1440.00,3351.1
